title,price,link,size,bedrooms,parking_spaces,bathrooms
"Apartamento com 2 dormitorios a venda, 105 m2  - Moema - Sao Paulo/SP",700000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-moema-105m2-RS700000/id-24402588/,105,2.0,1.0,1.0
EXCELENTE LOCAL-TERRACO-PISCINA-2 POR ANDAR-ALTO-2 VAGAS-CONFIRA,997000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-sp-sao-paulo-moema-170m2-RS997000/id-21778187/,105,3.0,2.0,2.0
"Apartamento com 4 dormitorios a venda, 180 m2 por R$ 2.200.000,00 - Alto da Lapa - Sao Paulo/SP",2200000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-4-quartos-com-garagem-sp-sao-paulo-alto-da-lapa-180m2-RS2200000/id-28760165/,180,4.0,3.0,1.0
VENDE-SE MODERNO APARTAMENTO DE 2 DORMITORIOS 2 VAGAS NA VILA FORMOSA,570000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-vila-formosa-RS570000/id-28766600/,50,2.0,2.0,1.0
Apartamento a venda na Casa Verde Alta,420000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-sp-sao-paulo-casa-verde-RS420000/id-29663389/,73,3.0,1.0,2.0
Vendo Lindo Apartamento com 78m2 na Saude com 3 Quartos.,1175000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-sp-sao-paulo-saude-78m2-RS1175000/id-15599976/,78,3.0,2.0,2.0
"Classico dos anos 1990, apartamento duplex com 328 m2 AU, 4 suites e 4 vagas",3800000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-4-quartos-com-garagem-sp-sao-paulo-jardim-paulista-658m2-RS3800000/id-28283828/,328,4.0,4.0,6.0
"Apartamento com 2 dormitorios a venda, 35 m2 por R$ 205.990,00 - Parque Sao Rafael - Sao Paulo/SP",205990,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-sp-sao-paulo-parque-sao-rafael-35m2-RS205990/id-17489854/,35,2.0,1.0,
"Apartamento com 2 quartos a venda na Vila Mariana, Sao Paulo  por R$ 700.000",700000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-vila-mariana-119m2-RS700000/id-18182749/,119,2.0,1.0,2.0
Apartamento proximo ao Shopping Cantareira Taipas,205500,https://www.chavesnamao.com.br/lancamento/apartamento-proximo-ao-shopping-cantareira-taipas/id-29990152/,32,2.0,1.0,1.0
Apartamento na vila curuca com 2 quartos 1 vaga e lazer completo aceita financiamento,258000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-vila-curuca-50m2-RS258000/id-29873507/,50,2.0,1.0,1.0
